Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,CodeMachine,1720967582549,3,21175,20934,63527,0.0,0,0,0,8,SUCCESS,21175,b_WzN_r8ToGPle_8bl2tMA
2,Nariox,1720340383655,3,21175,20799,63526,0.0,0,0,0,4,SUCCESS,21175,AUWR9HasSr2j2V1bbAptNw
3,Duckworth,1721037137742,3,21443,20858,64329,0.0,0,0,0,3,SUCCESS,21443,VIu9BQ4-Th6gUqu60ztwUQ
4,Ernesto-PhilJ,1720717057770,3,21844,21607,65533,0.0,0,0,0,8,SUCCESS,21844,8zBEAp0-S5yGbcZvytGZGQ
5,BSi,1721360428822,3,21886,21470,65660,0.0,0,0,0,14,SUCCESS,21886,2eb231b0a43f4940bfed3w
6,IcePandaBoom,1721228148679,3,22219,21866,66659,0.0,0,0,0,5,SUCCESS,22219,BTPWujqqTBOWGAFvEKyRaA
7,PolishThunder,1720575519695,3,22241,21401,66724,0.0,0,0,0,15,SUCCESS,22241,qi512oGVTry8V-KtP6j2_w
8,DaVinciDriver,1721214023444,3,22507,22062,67522,0.0,0,0,0,9,SUCCESS,22507,XtzXYz2pRByDnXz90XNGSw
9,Liao,1721222196124,3,22508,21922,67525,0.0,0,0,0,17,SUCCESS,22508,1mW7p6I1Q0-cB3Up-esBeQ
10,Hins,1720841866077,3,22884,22533,68654,0.0,0,0,0,1,SUCCESS,22884,TrdfMZyuRVWfUUCH-IYRKg
11,Kamiloj,1720530799521,3,22908,22664,68726,0.0,0,0,0,29,SUCCESS,22908,jmVlUw3DTUubDDSk3oOaPA
12,JPMC-BA-MiguelG,1720212397017,3,22928,22732,68784,0.0,0,0,0,30,SUCCESS,22928,ITPfFYXmSXKi3TqsvUHRKw
13,-SANTACLAWS-,1721343001213,3,23752,22736,71257,0.0,0,0,0,7,SUCCESS,23752,X_dNmJilS8SDBQ44yzd2fg
14,Eviden-Simon,1721134540217,3,23775,23332,71325,0.0,0,0,0,8,SUCCESS,23775,3XLO68TWRzyd6zo4IaoNYQ
15,DarkStar,1720861439847,3,23998,23473,71995,0.0,0,0,0,14,SUCCESS,23998,RqPwhBT9R1Oxro8xj4XNmA
16,Eviden-Surojit2024,1720774795643,3,24286,24129,72859,0.0,0,0,0,26,SUCCESS,24286,J1wwkIv7THCEOtq7arFvXA
17,PITS-TK,1720273773917,3,24464,23729,73394,0.0,0,0,0,33,SUCCESS,24464,PVc7jVR2RxqbPMpBIhjZ0g
18,JPMC-London-Griffc,1719846374465,3,24485,23735,73457,0.0,0,0,0,5,SUCCESS,24485,S1EcBZeaRjW2s85WNzBBog
19,Fr3d,1720045342382,3,24887,24465,74662,0.0,0,0,0,1,SUCCESS,24887,7x6nmMRlQiWawqJ8wUE7jA
20,JPMC-HYD-SpeedSters,1719854280492,3,25152,25003,75458,0.0,0,0,0,11,SUCCESS,25152,6fdcVCAkQtCCsyHEO0LNiA
21,rapirapi-BIP,1721267569153,3,25175,24865,75526,0.0,0,0,0,9,SUCCESS,25175,qsYR-A-0S2OHA1cvbeFfSg
