Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
elecman,1617269820539,3,46203,38206,138609,2.6666666666666665,0,8,8,0,1,SUCCESS,138609,OPEN,1PbBbv0ZQ121Yl30ux-8yQ
badger,1617252724562,3,48797,48423,146392,0.0,0,0,0,15,2,SUCCESS,146392,OPEN,9Vk5nDXNR-WZArdn86jCoA
LuckyMan,1617278359900,3,56122,41455,168368,5.333333333333333,0,16,16,1,3,SUCCESS,168368,OPEN,hbVXmPNNTAGt_ndmy0JCtg
Indresh,1617267916350,3,58173,53196,174519,0.6666666666666666,0,2,2,2,4,SUCCESS,174519,OPEN,PBKbRPGATRGncd7_TETNVQ
KDG,1617249383415,3,59072,53446,177217,1.0,0,3,3,25,5,SUCCESS,177217,OPEN,ztaFgl2rRlGccBujhFM2uw
Ashish-L,1617254160054,3,60105,51951,180316,5.666666666666667,0,17,17,0,6,SUCCESS,180316,OPEN,654ixg0nQiedZiq8fvUsww
WordistToko,1617279432788,3,61151,55138,183454,1.0,0,3,3,1,7,SUCCESS,183454,OPEN,x4Ec6RYzQAyujK9LzevlPQ
AskJag07,1617263761982,3,65899,52208,197697,2.3333333333333335,0,7,7,0,8,SUCCESS,197697,OPEN,Irr0LxD6RkKGVU8PHqEcRA
natrace,1617262451572,3,67821,61526,203464,1.0,0,3,3,0,9,SUCCESS,203464,OPEN,iN85G85uRDqh40Xcg21Nmg
HighwayStar14,1617255826286,3,70846,66463,212540,0.3333333333333333,0,1,1,0,10,SUCCESS,212540,OPEN,_-QA6PxfTe2tQi0u9OQhFQ
Anuoluwa,1617262992019,3,71420,69006,214262,2.6666666666666665,0,8,8,1,11,SUCCESS,214262,OPEN,HwWVKXhkTHupjpOs2fX77w
gg2021,1617269883678,3,72002,68145,216007,3.6666666666666665,0,11,11,0,12,SUCCESS,216007,OPEN,GAl49mLKRLikhF4djcaEtw
Aks,1617270740139,3,73673,64189,221021,1.3333333333333333,0,4,4,1,13,SUCCESS,221021,OPEN,c3EPJZ4OT5KYsM3VS9WHUg
WimpyKid2247,1617268188657,3,73701,70210,221105,0.6666666666666666,0,2,2,0,14,SUCCESS,221105,OPEN,a_k2x8E2TOezMm5_BTG9-A
ironbarrel1,1617274832343,3,73741,64117,221225,7.666666666666667,0,23,23,0,15,SUCCESS,221225,OPEN,fA5ouejXTLCuhHHUaHavEw
RacerHan,1617253363884,3,74366,67539,223099,1.0,0,3,3,5,16,SUCCESS,223099,OPEN,btjSMx2UTmWcmgXWbq_kRg
ViijayG,1617279106381,3,78193,67504,234580,4.0,0,12,12,5,17,SUCCESS,234580,OPEN,aq3yvHenSpycSwKRWDIHgw
qqqq,1617269617152,3,83007,75166,249021,2.6666666666666665,0,8,8,5,18,SUCCESS,249021,OPEN,NwOX6_R1SAGTrtTiC-CUMw
ved,1617267848187,3,83869,77273,251608,0.3333333333333333,0,1,1,1,19,SUCCESS,251608,OPEN,DlIV2NzKRc6l83r1HO3TnQ
boom666,1617244802646,3,86159,79949,258477,1.0,0,3,3,0,20,SUCCESS,258477,OPEN,PbPlu-ABSSCP35NAC-xe8g
yong,1617245980829,3,93415,79051,280245,4.0,0,12,12,1,21,SUCCESS,280245,OPEN,9IsJ8_YUSeO9_wFXa78BLQ
fid-anirban,1617273545795,3,101438,97992,304314,5.0,0,15,15,0,22,SUCCESS,304314,OPEN,9nfTupaaS-mkx4x0pO4QKQ
FidSrikara,1617275906949,3,101511,95076,304533,15.333333333333334,0,46,46,2,23,SUCCESS,304533,OPEN,u40nbzWbSLy7S22HBt8nQQ
F1-DevelopersIO,1617271043368,3,102348,96534,307046,15.0,0,45,45,3,24,SUCCESS,307046,OPEN,UzQrKbzfSKyZCEf6eD2PBA
FIDMaha,1617267452859,3,105481,99397,316443,8.666666666666666,0,26,26,0,25,SUCCESS,316443,OPEN,i8i_KxroRnONVHhsRRgfPQ
FunkyRacerWabbit,1617276286895,3,106570,91256,319711,15.666666666666666,0,47,47,1,26,SUCCESS,319711,OPEN,YzjkSEknQ82m6yI5qbF4ew
2ShiningStars,1617276081276,3,112499,106815,337497,9.666666666666666,0,29,29,0,27,SUCCESS,337497,OPEN,Hw_dJX-XQxaOQnS4pkH5Kg
viviano1,1617265785068,3,122540,106199,367621,10.666666666666666,0,32,32,0,28,SUCCESS,367621,OPEN,9JtORobmRnyRjKExyVoJZg
CMH-DeepRacer-004,1617264642408,3,155576,130601,466730,24.333333333333332,0,73,73,0,29,SUCCESS,466730,OPEN,1fecd68ded4342dfb484ced07d1b4cc2
