Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore
JJ,1614894063468,3,32076,31474,96229,0.0,0,0,0,64,1,SUCCESS,96229
Duckworth,1614779820149,3,41795,39279,125385,0.3333333333333333,0,1,1,144,2,SUCCESS,125385
PolishThunder,1614856375415,3,42044,34197,126133,1.3333333333333333,1,3,4,531,3,SUCCESS,126133
Ernesto,1614951937368,3,42104,37150,126313,0.6666666666666666,1,1,2,26,4,SUCCESS,126313
AJM-Model-1,1614797841953,3,43038,34449,129114,1.3333333333333333,2,2,4,22,5,SUCCESS,129114
kimmizian,1614885070838,3,44200,43407,132601,0.0,0,0,0,605,6,SUCCESS,132601
Jochem,1614945957368,3,45164,41183,135493,1.6666666666666667,2,3,5,26,7,SUCCESS,135493
kimwooglae,1614912031841,3,47713,45263,143141,2.3333333333333335,1,6,7,581,8,SUCCESS,143141
ShinyThings-DBS,1614651902525,3,49873,49238,149620,0.0,0,0,0,21,9,SUCCESS,149620
Mentaiko-DevelopersIO,1614947806595,3,51866,44490,155599,3.3333333333333335,1,9,10,88,10,SUCCESS,155599
DBro,1614956256258,3,54157,48470,162472,3.0,1,8,9,32,11,SUCCESS,162472
atnmn,1614786670988,3,55358,51955,166075,1.6666666666666667,0,5,5,51,12,SUCCESS,166075
RobinCastro-DBS,1614949452485,3,55703,50085,167109,1.0,1,2,3,9,13,SUCCESS,167109
think,1614807392541,3,59357,56796,178072,4.333333333333333,5,8,13,532,14,SUCCESS,178072
BoogieTimeProductions,1614926571479,3,67477,62938,202431,2.6666666666666665,1,7,8,107,15,SUCCESS,202431
neibc,1614954709570,3,71980,63713,215942,1.3333333333333333,1,3,4,3,16,SUCCESS,215942
sittah,1614872421872,3,73957,67603,221871,2.3333333333333335,0,7,7,3,17,SUCCESS,221871
nero-DNPds,1614945944912,3,75007,74187,225023,3.0,0,9,9,48,18,SUCCESS,225023
IVE-FYP-DeepRacerEvo,1614717913525,3,81919,74459,245759,1.6666666666666667,1,4,5,4,19,SUCCESS,245759
ABaykov,1614605821824,3,87433,82689,262299,3.0,2,7,9,6,20,SUCCESS,262299
LuckyMan,1614794749968,3,87575,77540,262725,5.0,0,15,15,0,21,SUCCESS,262725
RichardFan,1614692166591,3,93616,85376,280850,6.0,3,15,18,3,22,SUCCESS,280850
mayurmadnani,1614741213928,3,94737,87066,284211,9.333333333333334,2,26,28,6,23,SUCCESS,284211
Joffe,1614851734657,3,97251,92764,291755,8.666666666666666,1,25,26,1,24,SUCCESS,291755
S-P-,1614945904783,3,99933,97596,299801,1.3333333333333333,3,1,4,1,25,SUCCESS,299801
onlythree,1614945412841,3,108387,93185,325162,11.0,2,31,33,6,26,SUCCESS,325162
Maikel,1614945719201,3,109483,93324,328449,13.666666666666666,3,38,41,10,27,SUCCESS,328449
Deepak-dpk,1614952782271,3,109776,105847,329330,12.0,3,33,36,1,28,SUCCESS,329330
evapag,1614563707383,3,109884,108674,329654,1.0,1,2,3,0,29,SUCCESS,329654
nalbam-me,1614759824621,3,113144,92573,339432,13.666666666666666,3,38,41,186,30,SUCCESS,339432
Kire,1614608293771,3,133112,122006,399338,17.0,2,49,51,4,31,SUCCESS,399338
Breadcentric,1614811172817,3,146832,143004,440498,16.666666666666668,2,48,50,1,32,SUCCESS,440498
London-1-Racers,1614624891706,3,152377,147970,457131,19.666666666666668,1,58,59,0,33,SUCCESS,457131
JPMC-LesBleus,1614619941291,3,162916,148641,488750,20.666666666666668,1,61,62,5,34,SUCCESS,488750
Galileo,1614895696395,3,171374,148936,514122,23.0,2,67,69,3,35,SUCCESS,514122
MattCamp,1614619007855,3,182211,152353,546634,25.0,0,75,75,0,36,SUCCESS,546634
TonyKim,1614569279381,3,206595,188515,619785,9.0,1,26,27,0,37,SUCCESS,619785
TonyJ,1614564987190,3,307908,300079,923725,46.333333333333336,4,135,139,0,38,SUCCESS,923725
