Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore
kimmizian,1614579094033,3,44749,44492,134248,0.0,0,0,0,31,1,SUCCESS,134248
RichardFan,1614574202482,3,94864,88037,284592,6.0,0,18,18,1,2,SUCCESS,284592
atnmn,1614578142056,3,103207,97497,309623,11.0,2,31,33,1,3,SUCCESS,309623
evapag,1614563707383,3,109884,108674,329654,1.0,1,2,3,0,4,SUCCESS,329654
think,1614586744124,3,118125,117069,354376,14.0,1,41,42,26,5,SUCCESS,354376
kimwooglae,1614581211208,3,133110,115805,399331,18.0,2,52,54,25,6,SUCCESS,399331
BoogieTimeProductions,1614580884730,3,142001,129597,426004,18.0,0,54,54,7,7,SUCCESS,426004
AJM-Model-1,1614565878044,3,146249,114879,438748,15.666666666666666,1,46,47,0,8,SUCCESS,438748
RobinCastro-DBS,1614568897415,3,185431,165331,556293,26.666666666666668,2,78,80,0,9,SUCCESS,556293
TonyKim,1614569279381,3,206595,188515,619785,9.0,1,26,27,0,10,SUCCESS,619785
TonyJ,1614564987190,3,307908,300079,923725,46.333333333333336,4,135,139,0,11,SUCCESS,923725
PolishThunder,1614566516135,3,417898,381616,1253694,69.0,5,202,207,0,12,SUCCESS,1253694
