Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,Kire,1719740278284,5,9178,9073,52531,0.2,0,1,1,70,SUCCESS,9178,N0y9CR6fQN-a4UlAFsTC5Q
2,ZoD,1719746702544,5,9335,9206,53370,0.2,1,0,1,86,SUCCESS,9335,TFtvCas4TRWchrBPMyGh0A
3,EvidenMarkRoss,1719555880140,5,10545,8505,60836,0.6,2,1,3,21,SUCCESS,10545,9OT4p4dXQ2K2J5pOUfeGfg
4,Liao,1719734800613,5,10867,8798,62685,0.6,1,2,3,3,SUCCESS,10867,1mW7p6I1Q0-cB3Up-esBeQ
5,AIDeepRacer,1719252572946,5,11919,11822,82955,0.8,4,0,4,2,SUCCESS,11919,pIRbdCx6QYatgVXm2p5GbA
6,Rads1212,1719248239126,5,13310,11065,86256,1.0,3,2,5,15,SUCCESS,13310,3keqP30TQMS6jO8SRw_1uw
7,Ernesto-PhilJ,1719328941156,5,13510,11201,88109,1.0,4,1,5,8,SUCCESS,13510,8zBEAp0-S5yGbcZvytGZGQ
8,CodeMachine,1719583504562,5,14444,14268,73152,0.0,0,0,0,7,SUCCESS,14444,b_WzN_r8ToGPle_8bl2tMA
9,rosscomp1,1719101354629,5,14646,10934,71693,0.6,3,0,3,2,SUCCESS,14646,fb0d597a87f94697aa1c6w
10,Dexxtz,1719252806478,5,15574,13521,79941,0.4,2,0,2,20,SUCCESS,15574,tabxmSFdSiuDVkEWW34mTA
11,THEYA,1719427340808,5,16075,15531,92357,1.4,5,2,7,2,SUCCESS,16075,lEMJa_knTkmYUf8sZq7p8w
12,AJM-Model-1,1719259450688,5,16667,16202,84424,0.0,0,0,0,1,SUCCESS,16667,gdsU9bkGRWW7LTEHP4rGgQ
13,ProgrammingAnalyst#5035,1719748856237,5,17232,11257,97299,1.4,7,0,7,5,SUCCESS,17232,Ka4pfqmRSIihkBUInIO2SQ
14,FabioMaxV,1719500604912,5,17740,17130,100688,1.4,5,2,7,26,SUCCESS,17740,fkCXzcxUQAu40C7Qxc3EzA
15,Origami,1719059659777,5,18205,16797,92757,1.0,4,1,5,2,SUCCESS,18205,xOcXWdU4QdeaSGZy6VYZjQ
16,SilverBullet777,1719244898371,5,18334,14131,115793,1.6,8,0,8,2,SUCCESS,18334,9tyVk4VlRF-d6J3rlZDwjg
17,Echo1911,1719196447048,5,18843,14934,120953,2.6,7,6,13,1,SUCCESS,18843,4WgpazINRpS1KD3yKMjkrA
18,SneedRacer,1719267726896,5,18999,16999,116201,2.0,9,1,10,18,SUCCESS,18999,EprA2JZ7SsihMmzbw-RxpQ
19,VVIK,1719249577216,5,19066,17267,108973,1.8,8,1,9,4,SUCCESS,19066,9K4Cz2EiTz2YB5ZrAauVRA
20,PolishThunder,1719607668352,5,19688,17472,101267,1.4,6,1,7,5,SUCCESS,19688,qi512oGVTry8V-KtP6j2_w
21,TeamMinardi,1719498596840,5,19994,15851,113850,1.2,5,1,6,9,SUCCESS,19994,4n-rFtTVTCC-OpiVoeknqQ
22,FocusedExpert#7259,1719675245083,5,20376,16192,123188,1.4,3,4,7,25,SUCCESS,20376,3MZZuFygRjm1Za-OUz0ufg
23,kashi,1719134322478,5,20598,16136,123258,2.4,12,0,12,13,SUCCESS,20598,oq7yCLy5QAeEP6k7o53L8A
24,FunctionalGame#7461,1719742090167,5,21312,14266,120144,1.8,8,1,9,1,SUCCESS,21312,1cd0NacKRKm1U_jsHWCreQ
25,Slerman,1719413450628,5,21841,13134,119047,2.0,10,0,10,1,SUCCESS,21841,Gd2L-HaBSTqwjQ5q5Ihx9A
26,NeuralSlice#4106,1719292037670,5,22673,12603,127485,2.2,10,1,11,1,SUCCESS,22673,GtrbCRFZTkCrcNPkKT8wUA
27,Zippitydo-data,1719729407119,5,22732,18866,119456,1.8,8,1,9,5,SUCCESS,22732,gSgHFy9WRhCfES9TO3-A6Q
28,Vahan-OP,1719575904533,5,23096,18064,132489,2.2,4,7,11,11,SUCCESS,23096,YUOli6BmSeS9nVZMBqGnbQ
29,UnboundHypothesis,1719027245287,5,23232,19098,124902,2.0,5,5,10,1,SUCCESS,23232,AKKdsaEmSTSB-MONeM3cbw
30,Project-Zero,1719252817877,5,23267,20669,125027,2.6,13,0,13,5,SUCCESS,23267,YSbI1jRjSbazQENoTf3hBQ
31,acoela-DNPds,1719378270172,5,23286,10731,146464,3.4,14,3,17,2,SUCCESS,23286,0lZyn5CUSVK9Llk2oSaS3w
32,PITS-TK,1719401980004,5,23799,14796,138124,3.4,11,6,17,3,SUCCESS,23799,PVc7jVR2RxqbPMpBIhjZ0g
33,Shogo,1719365726881,5,24133,18529,142300,2.8,6,8,14,2,SUCCESS,24133,LcFilcWrTrGC6xPpgsQRrA
34,Yuliya,1719745871732,5,24342,17094,133228,2.8,10,4,14,18,SUCCESS,24342,JWJgkv8bSKeMIGYZ9roR-A
35,nine9,1719326077874,5,24356,22331,143604,3.0,5,7,15,11,SUCCESS,24356,nh20eR6wSW2uOCJ_nRnUvg
36,JPMC-RacingRhino,1719647493600,5,25088,20868,136135,3.0,13,2,15,1,SUCCESS,25088,3b8cUKuuQfOWQgfjZSeVFw
37,HashableScope,1719027201075,5,25938,19620,150819,2.8,11,3,14,1,SUCCESS,25938,hETjovPkS1y0n1VzFbrqcA
38,TopGRacer#8889,1719187839498,5,25956,20031,129902,2.0,10,0,10,1,SUCCESS,25956,xOrnIcTTQ4ySmRsVfZ8rtw
39,technopro#abdullahaljabir,1719369413057,5,26377,22799,140698,3.0,14,1,15,1,SUCCESS,26377,pgnD8_kHRnW4E2FIehFopQ
40,KasztP,1719519766544,5,26664,22935,132361,2.6,8,5,13,3,SUCCESS,26664,B_NHhZzIT7yLboMZHKC3Qw
41,DGkingRacer#1350,1719422145266,5,27053,25066,137355,2.4,12,0,12,1,SUCCESS,27053,X0K3ss6pTZ-v3qQVji8ZuA
42,AleCi,1719481519087,5,27317,21464,153018,2.6,13,0,13,3,SUCCESS,27317,R3HcTqybRx26I4O6xo9Qcg
43,Eviden-DeliangGao,1719527197291,5,27758,18407,141895,2.8,10,4,14,1,SUCCESS,27758,fG2qFJJXSJe0vHMtXWDmQg
44,raj-1205,1719724561734,5,27978,25800,143212,2.4,8,4,12,2,SUCCESS,27978,558a49745f8843aea7db6w
45,pgebski,1719575412876,5,28043,27800,140543,3.0,15,0,15,1,SUCCESS,28043,gfTMAo7aSISFQCyBv6fR7Q
46,technopro#inus,1719605469346,5,28151,21135,165915,4.2,17,4,21,1,SUCCESS,28151,BjITNG7mS6SXkHQa1ojaeA
47,TPC-Tech,1719533834863,5,28221,28064,141629,3.0,15,0,15,1,SUCCESS,28221,iEfWhIPLS865MMzpmLNdqQ
