Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JJ,1633018761836,3,18669,18551,56007,0.0,0,0,0,4603,1,SUCCESS,56007,PRO,afdcX_4vRH6Ussd0mbg5LQ
Karl-NAB,1633029591991,3,18862,18776,56586,0.0,0,0,0,1478,2,SUCCESS,56586,PRO,4vOOxLIsSjeL2WFaO5o_fQ
ZhengYi-NYCU-CGI,1632504596634,3,19165,19141,57497,0.0,0,0,0,351,3,SUCCESS,57497,PRO,qY4J9IzvQS6a1N-KZXwviA
Yoway-NYCU-CGI,1632424703274,3,19320,19134,57961,0.0,0,0,0,94,4,SUCCESS,57961,PRO,1fBE9Y-DR4aOhdY6ydu-rA
CGS-Huge-Hadr0n,1633030119003,3,19350,19207,58051,0.0,0,0,0,3848,5,SUCCESS,58051,PRO,63LA0_QCQ1-fRLzXgWmAeQ
JPMC-HYD-02,1631704286963,3,19702,19268,59107,0.0,0,0,0,446,6,SUCCESS,59107,PRO,LKdw_hyKTSu7moFuxbmiZw
rosscomp1,1633040928149,3,20113,19638,60339,0.0,0,0,0,594,7,SUCCESS,60339,PRO,fb0d597a87f94697aa1c6w
TonyJ,1632102365735,3,20134,19792,60402,0.0,0,0,0,415,8,SUCCESS,60402,PRO,af962be5a4ed4c57af807w
PolishThunder,1631851598440,3,20343,19678,61029,0.0,0,0,0,2613,9,SUCCESS,61029,PRO,qi512oGVTry8V-KtP6j2_w
Duckworth,1631426526911,3,20345,20161,61035,0.0,0,0,0,1274,10,SUCCESS,61035,PRO,VIu9BQ4-Th6gUqu60ztwUQ
JPMC-HYD-SpeedSters,1632984146658,3,20348,20026,61044,0.0,0,0,0,100,11,SUCCESS,61044,PRO,6fdcVCAkQtCCsyHEO0LNiA
ADA,1631027351909,3,20365,20107,61096,0.0,0,0,0,120,12,SUCCESS,61096,PRO,KiqOhQPjTamuBXicXnKGEA
Ernesto-PhilJ,1632954243632,3,20367,20001,61102,0.0,0,0,0,2023,13,SUCCESS,61102,PRO,8zBEAp0-S5yGbcZvytGZGQ
AIDeepRacer,1633004419315,3,20601,20510,61805,0.0,0,0,0,798,14,SUCCESS,61805,PRO,pIRbdCx6QYatgVXm2p5GbA
AJM-Model-1,1632657899674,3,20782,20594,62346,0.0,0,0,0,3471,15,SUCCESS,62346,PRO,gdsU9bkGRWW7LTEHP4rGgQ
ZoD,1632641286108,3,20848,20764,62545,0.0,0,0,0,1601,16,SUCCESS,62545,PRO,TFtvCas4TRWchrBPMyGh0A
Rober-rNiubo,1632776083147,3,20935,20486,62807,0.0,0,0,0,1848,17,SUCCESS,62807,PRO,KrRSYhzKTfONjRaDUc_ubQ
MattKreder,1632789388731,3,21108,21037,63324,0.0,0,0,0,3470,18,SUCCESS,63324,PRO,cVk-aYKdRUmuL0qmjyzmag
Penguin-DNPds,1631831058827,3,21129,20852,63388,0.0,0,0,0,324,19,SUCCESS,63388,PRO,Nr3YCYWGTA631Xqa0uDPhw
SG-JPMC-03,1632916049650,3,21293,21181,63880,0.0,0,0,0,1044,20,SUCCESS,63880,PRO,LJzDpiNuTFeHu9dsqp1APw
dartjason,1632218091948,3,21371,21188,64114,0.0,0,0,0,4293,21,SUCCESS,64114,PRO,JSflDq5rQgKEuA5Ots4kDQ
RobinCastro-DBS,1633043565578,3,21447,20984,64343,0.0,0,0,0,5942,22,SUCCESS,64343,PRO,7KrbyQXvTBOxnBa0p9YuUA
JPMC-BMTH-RacersOfTheLostArk,1633015386446,3,21484,21358,64454,0.0,0,0,0,2162,23,SUCCESS,64454,PRO,4607b3c36ab4490cad7a4w
Carvai,1631917584425,3,21550,21270,64651,0.0,0,0,0,1072,24,SUCCESS,64651,PRO,SsDvF8JeRvaeXye0kQfvpA
Deepak-dpk,1631596452845,3,21612,21343,64838,0.0,0,0,0,2095,25,SUCCESS,64838,PRO,gDTBFK77TM6wD6uObZlulA
skoota,1632071297148,3,21712,21124,65136,0.0,0,0,0,3103,26,SUCCESS,65136,PRO,-1lhRLeeRTCRUGoxx3ybDA
Bandwidth-RnD,1631821815621,3,21784,21520,65354,0.0,0,0,0,1164,27,SUCCESS,65354,PRO,77V1kp1kRJCO5D4zgSrqxA
CGS-BigBoson,1632519842369,3,21873,20780,65621,0.3333333333333333,0,1,1,6937,28,SUCCESS,65621,PRO,U1DMLV72SSmIjLE-fPGbuw
Fumiaki,1632905441684,3,22223,20670,66671,0.3333333333333333,0,1,1,1195,29,SUCCESS,66671,PRO,5RzBNYRAQoWVausi3eyhRg
Jacky-LeadingAI,1632457693374,3,22700,22481,68101,0.0,0,0,0,106,30,SUCCESS,68101,PRO,G17n-1ZGRomjX-x9WXUvhw
kimwooglae,1632420221707,3,23400,23005,70202,0.0,0,0,0,5745,31,SUCCESS,70202,PRO,bOqKo-ebR_essdUaZVGO4Q
Yuliya,1631718153944,3,23499,22349,70499,0.3333333333333333,0,1,1,2987,32,SUCCESS,70499,PRO,JWJgkv8bSKeMIGYZ9roR-A
S-P-,1632902285340,3,23664,23531,70994,0.0,0,0,0,909,33,SUCCESS,70994,PRO,MxT5p4ZvSTOcc6ANa8VZNg
CGS-on-your-12-hopefully,1632665430252,3,23834,21837,71502,0.6666666666666666,0,2,2,1222,34,SUCCESS,71502,PRO,C4LEAeusQ8uY4gJ45GcKlg
GT-DevelopersIO,1631665506848,3,24353,21533,73059,0.6666666666666666,0,2,2,38,35,SUCCESS,73059,PRO,8WSp4P7ZRn-jJgZLnugwkA
alexj,1633002735310,3,24562,24216,73687,0.0,0,0,0,111,36,SUCCESS,73687,PRO,Km6btE1_SFCCCqWJ4H6Fyg
LeadingAI,1632442291774,3,25592,22856,76777,0.6666666666666666,1,1,2,25,37,SUCCESS,76777,PRO,VP5wwaH5T4GciaMX2ocEvQ
