Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision
JPMC-TeamOne-BuenosAires,1625796414570,1,22138,22138,98591,2.6666666666666665,4,4,8,1,1,SUCCESS,22138,OPEN
Yoway-NYCU-CGI,1625789608722,1,22298,22298,172726,2.8,2,12,14,2,2,SUCCESS,22298,OPEN
dartjason,1625622887138,1,22869,22869,179798,3.0,2,13,15,0,3,SUCCESS,22869,OPEN
ZhengYi-NYCU-CGI,1625788480245,1,23150,23150,154379,2.0,5,5,10,0,4,SUCCESS,23150,OPEN
AJM-Model-1,1625788605924,1,23205,23205,180118,0.5714285714285714,0,4,4,0,5,SUCCESS,23205,OPEN
Ernesto,1625682360536,1,23469,23469,170227,1.3333333333333333,2,6,8,0,6,SUCCESS,23469,OPEN
RobinCastro-DBS,1625786315245,1,23469,23469,153698,0.3333333333333333,1,1,2,0,7,SUCCESS,23469,OPEN
Duckworth,1625770182345,1,23772,23772,162408,0.5,2,1,3,0,8,SUCCESS,23772,OPEN
Yi-LI-NYCU-CGI,1625788517077,1,24081,24081,96598,2.3333333333333335,0,7,7,0,9,SUCCESS,24081,OPEN
SorinB,1625759830267,1,27284,27284,147978,2.5,4,6,10,0,10,SUCCESS,27284,OPEN
TonyJ,1625789812117,1,27626,27626,174859,8.333333333333334,21,4,25,0,11,SUCCESS,27626,OPEN
AIDeepRacer,1625784333378,1,29369,29369,178042,2.4,4,8,12,0,12,SUCCESS,29369,OPEN
GT-DevelopersIO,1625786362911,1,29734,29734,155485,1.2,2,4,6,0,13,SUCCESS,29734,OPEN
Breadcentric,1625784394120,1,31249,31249,70719,3.0,4,2,6,0,14,SUCCESS,31249,OPEN
rosscomp1,1625789999036,1,33098,33098,33098,2.0,1,1,2,0,15,SUCCESS,33098,OPEN
Rober,1625788292872,1,35333,35333,124342,3.3333333333333335,7,3,10,0,16,SUCCESS,35333,OPEN
