Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,BennyLBS,1702386697709,1,9874,9874,30653,0.0,0,0,0,1,SUCCESS,9874,wD3fjDFZTJaZd9AU7WRDlA
2,BSi,1702431057802,1,10200,10200,35726,0.3333333333333333,0,1,1,10,SUCCESS,10200,2eb231b0a43f4940bfed3w
3,DaVinciDriver,1702203390918,1,10277,10277,31390,0.0,0,0,0,2,SUCCESS,10277,XtzXYz2pRByDnXz90XNGSw
4,Completeddebug#9527,1702280138706,1,10406,10406,51467,1.6666666666666667,0,5,5,2,SUCCESS,10406,G3O2N8lNSdCS3l-V8OMpNw
5,MrSamtani369,1702250655689,1,10462,10462,32524,0.0,0,0,0,17,SUCCESS,10462,VgMTZbfIT9eTfo38xYbINg
6,EvidenMarkRoss,1701939806615,1,10463,10463,32588,0.0,0,0,0,1,SUCCESS,10463,9OT4p4dXQ2K2J5pOUfeGfg
7,ferrite,1702237242723,1,10594,10594,32304,0.0,0,0,0,1,SUCCESS,10594,SRAgn9lMTCmIjaBREP7hxA
8,londoso-monst,1702278233487,1,10602,10602,32852,0.0,0,0,0,6,SUCCESS,10602,mQQF2PEFSvmDfnR4HGLM1Q
9,JPMC-Speedy-Gonzales-LATAM,1702238669710,1,10603,10603,36897,0.3333333333333333,0,1,1,6,SUCCESS,10603,McOa_W8cTW2EErfZhOoKxA
10,sxpnp,1702262592429,1,10663,10663,32781,0.0,0,0,0,1,SUCCESS,10663,GPJ-D-O9QSaDEqnHgTcAhQ
11,XMaroRadoX,1701856386541,1,11001,11001,48124,1.3333333333333333,0,4,4,14,SUCCESS,11001,ZMEvNhxmRoeSePlAzJQDqA
12,Yuliya,1702016728425,1,11592,11592,41513,0.3333333333333333,0,1,1,42,SUCCESS,11592,JWJgkv8bSKeMIGYZ9roR-A
13,Fr3dNZ,1702334768427,1,11671,11671,48730,1.0,0,3,3,9,SUCCESS,11671,7x6nmMRlQiWawqJ8wUE7jA
14,Galileo,1702377912017,1,11855,11855,36254,0.0,0,0,0,13,SUCCESS,11855,Y79AzaaOR-u4LVKMxu1Mdw
15,Aurora-DNPds,1701913201067,1,12060,12060,40027,0.3333333333333333,0,1,1,2,SUCCESS,12060,26fba66bedca4aa3bca47w
16,HameenHitain#42,1702296229681,1,12278,12278,41812,0.3333333333333333,0,1,1,14,SUCCESS,12278,44YjKeFtRFyv_g8ljvEg1w
17,VelocityVirtuoso#8123,1702157743865,1,12527,12527,44469,0.3333333333333333,0,1,1,2,SUCCESS,12527,SOaLDMtJTQWr55eR6v710Q
18,IcePandaBoom,1701810910043,1,12536,12536,38448,0.0,0,0,0,1,SUCCESS,12536,BTPWujqqTBOWGAFvEKyRaA
19,nickyl,1702386609921,1,12542,12542,41952,0.3333333333333333,0,1,1,2,SUCCESS,12542,O0GALYAoRfGA0kUV6ftgqQ
20,Danthalion,1701986803728,1,12599,12599,41734,0.3333333333333333,0,1,1,12,SUCCESS,12599,CWU1PM3rR4qYBa8U1Cp5MQ
21,FabRacer,1701855442095,1,12606,12606,51095,1.0,0,3,3,21,SUCCESS,12606,YXjU-6WZTe65g7_YyZPJrA
22,Liao,1701946070498,1,12652,12652,47133,0.6666666666666666,0,2,2,1,SUCCESS,12652,1mW7p6I1Q0-cB3Up-esBeQ
23,BackloggedInterface#8446,1702338415660,1,13524,13524,45190,0.3333333333333333,0,1,1,6,SUCCESS,13524,mkM5K4YHR_GrdZHcB4yJxw
24,Timur,1702327831525,1,13526,13526,57104,1.6666666666666667,0,5,5,3,SUCCESS,13526,8GbU01NAS66HrfvnpVGy-g
25,DaltonWoodsideMoffatt#181,1701839961350,1,13540,13540,42994,0.0,0,0,0,10,SUCCESS,13540,55K-6ACBQLq3moPe_eom9w
26,Spectre,1702163134970,1,13604,13604,41186,0.0,0,0,0,1,SUCCESS,13604,l1wMevmSRWuXHvljPrAeRg
27,Niock,1702071734827,1,13797,13797,53119,1.0,0,3,3,14,SUCCESS,13797,6zEI6UUZSXmlAe8uB6nUzw
28,gottueagles,1702317251208,1,13946,13946,44668,0.0,0,0,0,4,SUCCESS,13946,nEn813DYTiqk78BFD7lWCw
29,Ansh7,1701921736811,1,13997,13997,46459,0.3333333333333333,0,1,1,3,SUCCESS,13997,JCwxucKeRWO_Eij9nr98UQ
30,DustyDaltBot,1702094383819,1,15262,15262,49630,0.6666666666666666,0,2,2,9,SUCCESS,15262,5JJA5zzLTtCx0xPfVdT0bg
31,BeepBeepGo,1701806457284,1,15337,15337,54354,1.6666666666666667,0,5,5,6,SUCCESS,15337,eloXue5sQAChBCU2Yes-XA
32,barkingdog,1701742747197,1,15337,15337,47117,1.0,0,3,3,3,SUCCESS,15337,b3960b6c6f58458880ceew
33,Danihu,1702160125196,1,15393,15393,47121,0.0,0,0,0,2,SUCCESS,15393,vwiw4L6PT2u8j85KebcmIw
34,FantasiaPlanet,1702173555608,1,15453,15453,52315,1.3333333333333333,0,3,4,5,SUCCESS,15453,8wPvt9nLTv-I-F2ieNgD6w
35,ZombyTester,1701909203320,1,15544,15544,53548,0.6666666666666666,0,2,2,7,SUCCESS,15544,FdIef-FzSYaphx2zqSwvpg
