Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,AIDeepRacer,1709273159103,1,25167,25167,83502,0.3333333333333333,0,1,1,1,SUCCESS,25167,pIRbdCx6QYatgVXm2p5GbA
2,nalbam-me,1709365216197,1,25993,25993,118248,2.3333333333333335,0,7,7,31,SUCCESS,25993,PnRru4vBRkeyT4xX6LOCtw
3,DaVinciDriver,1709538409256,1,26037,26037,87849,0.3333333333333333,0,1,1,4,SUCCESS,26037,XtzXYz2pRByDnXz90XNGSw
4,Duckworth,1709559836017,1,26492,26492,92412,0.6666666666666666,0,2,2,2,SUCCESS,26492,VIu9BQ4-Th6gUqu60ztwUQ
5,Berbbobs,1709551014035,1,28853,28853,108596,1.3333333333333333,0,4,4,3,SUCCESS,28853,bt0g0Yx0R7KyvbtojGlP4A
6,JPMC-tarun-HYD,1709364918687,1,29045,29045,104595,1.0,0,3,3,4,SUCCESS,29045,6jJ_fiuUQb2PZXOGkr3V7g
7,Nariox,1709323727919,1,29288,29288,146709,3.3333333333333335,0,10,10,1,SUCCESS,29288,AUWR9HasSr2j2V1bbAptNw
8,Cloud-Ultra-Pro-Sam,1709625780041,1,30450,30450,93661,0.0,0,0,0,9,SUCCESS,30450,R22FBKQsSMKmRaTpNdD76A
9,-SANTACLAWS-,1709459221279,1,30672,30672,116721,1.3333333333333333,0,3,4,2,SUCCESS,30672,X_dNmJilS8SDBQ44yzd2fg
10,Jianlong,1709454467991,1,33219,33219,100799,0.0,0,0,0,5,SUCCESS,33219,vpsHYdBtSIq__1M9j1R21Q
11,Ensono-Ernesto,1709312317662,1,33931,33931,140729,3.3333333333333335,0,10,10,1,SUCCESS,33931,8zBEAp0-S5yGbcZvytGZGQ
12,CodeMachine,1709598490368,1,34650,34650,115860,1.3333333333333333,0,3,4,5,SUCCESS,34650,b_WzN_r8ToGPle_8bl2tMA
13,C3R0,1709316667429,1,34818,34818,135883,2.0,0,6,6,8,SUCCESS,34818,61QIIR_GTpCM0JoUAsdwew
14,PolishThunder,1709320301671,1,35588,35588,116864,0.6666666666666666,0,2,2,2,SUCCESS,35588,qi512oGVTry8V-KtP6j2_w
15,sivas,1709272749164,1,38509,38509,119064,1.0,0,3,3,3,SUCCESS,38509,mOcZW4PTTy2BWQZjxxHPHA
16,ProvisionalSchematic,1709303119500,1,38586,38586,147985,2.0,0,6,6,2,SUCCESS,38586,hEXm0S5DSuKhb9giUIfrwA
17,IcePandaBoom,1709278126732,1,38919,38919,127212,2.3333333333333335,0,7,7,1,SUCCESS,38919,BTPWujqqTBOWGAFvEKyRaA
18,RobinCastro-DBS,1709295030513,1,39252,39252,124431,0.3333333333333333,0,1,1,1,SUCCESS,39252,7KrbyQXvTBOxnBa0p9YuUA
19,FabRacer,1709304698661,1,39365,39365,136683,1.0,0,3,3,8,SUCCESS,39365,YXjU-6WZTe65g7_YyZPJrA
20,TheEconomist,1709303058985,1,40320,40320,141978,2.3333333333333335,0,7,7,2,SUCCESS,40320,_sRt0zAsSvGdTJM-2XSBNg
21,EvidenMarkRoss,1709284453553,1,40628,40628,128262,0.3333333333333333,0,1,1,1,SUCCESS,40628,9OT4p4dXQ2K2J5pOUfeGfg
22,ferrite,1709260036276,1,41066,41066,136975,3.0,0,9,9,2,SUCCESS,41066,SRAgn9lMTCmIjaBREP7hxA
23,LeetFormula#6781,1709507962858,1,41447,41447,134827,0.3333333333333333,0,1,1,3,SUCCESS,41447,R5muw8HbTAmpfHCNU9rVpw
24,flame,1709544105647,1,41590,41590,129729,1.3333333333333333,0,4,4,2,SUCCESS,41590,rb1-aN2XSuySWr1GRAliAQ
25,Yuliya,1709485649912,1,41708,41708,137823,2.6666666666666665,0,8,8,3,SUCCESS,41708,JWJgkv8bSKeMIGYZ9roR-A
26,Guga,1709556228839,1,41853,41853,159945,3.0,0,9,9,1,SUCCESS,41853,617e83d68c1240be8b9abw
27,BoltronRacingTeam,1709344016837,1,42071,42071,147211,1.3333333333333333,0,4,4,1,SUCCESS,42071,Lkrg6gQPQ5qwn61K16MHhg
28,TonyJ,1709341533017,1,42171,42171,170916,4.666666666666667,0,14,14,1,SUCCESS,42171,af962be5a4ed4c57af807w
29,DustyRacing,1709593098830,1,42465,42465,143969,1.0,0,3,3,6,SUCCESS,42465,Vlo2vVAfQrqWadXhqFE38A
30,FormulaicRequirements#6121,1709303093095,1,43195,43195,151619,2.0,0,6,6,2,SUCCESS,43195,vr1lMXTfS2Gu6RIv8M6lAA
31,Jochem,1709318570174,1,43306,43306,155424,3.6666666666666665,0,11,11,1,SUCCESS,43306,RBPhZc5eTVmEF_gpSV7skg
32,FocusedExpert#7259,1709568212507,1,43411,43411,142226,0.6666666666666666,0,2,2,10,SUCCESS,43411,3MZZuFygRjm1Za-OUz0ufg
33,JPMC-London-Adam,1709541055797,1,43931,43931,150353,2.0,0,6,6,3,SUCCESS,43931,MKyQktY7RcKa36uMHbmmJQ
34,OMG-LastDance,1709353491137,1,44060,44060,151585,1.3333333333333333,0,4,4,1,SUCCESS,44060,K1mAxkPHSRunpIs8f5j4oA
35,MK#5197,1709532524495,1,44268,44268,137959,0.3333333333333333,0,1,1,3,SUCCESS,44268,Pxiin58OQB-FKy3zHBZvaQ
36,CobraTate#8889,1709256884952,1,44373,44373,150384,1.0,0,3,3,3,SUCCESS,44373,xOrnIcTTQ4ySmRsVfZ8rtw
37,LadyBladez-IV,1709573436228,1,44425,44425,161387,2.6666666666666665,0,8,8,11,SUCCESS,44425,So26i8AxTJOuN_aBCdZLnA
38,ContinuousGame#2446,1709434949425,1,44564,44564,140796,0.3333333333333333,0,1,1,23,SUCCESS,44564,xNY_C8CtS52yDgDiAD89IA
39,Yoga,1709616104714,1,44594,44594,152080,1.0,0,3,3,5,SUCCESS,44594,9C5BCEtKRUOa2-8axwuEFQ
40,DBro,1709281935731,1,44829,44829,156444,4.333333333333333,0,13,13,1,SUCCESS,44829,jEkEOpjZRhGUbyDZIfTo_A
41,Dfwdeepracer9,1709256889544,1,45036,45036,151118,1.0,0,3,3,14,SUCCESS,45036,LPqSQTz6T22eT_XnK6kkJw
42,Aurora-DNPds,1709263566398,1,45290,45290,161835,4.666666666666667,0,14,14,1,SUCCESS,45290,26fba66bedca4aa3bca47w
43,RayG-DBS,1709361930817,1,45650,45650,144588,1.3333333333333333,0,4,4,1,SUCCESS,45650,YNrvM9f5RteeSrCl7oFC5w
44,EvidenYsfASKRI,1709503447074,1,45679,45679,159328,1.3333333333333333,0,4,4,24,SUCCESS,45679,rSl7B7rBS6id25n9aRu4aQ
45,Banbone,1709373036077,1,45698,45698,159337,2.3333333333333335,0,7,7,4,SUCCESS,45698,iTaYYJwUSXWPbqTcxyO0ZA
46,NIGERIA,1709309951592,1,45716,45716,164473,1.6666666666666667,0,5,5,3,SUCCESS,45716,IweEzU-MSRuanSWrH22ZjQ
47,Akiva,1709268725633,1,47848,47848,149708,1.3333333333333333,0,4,4,1,SUCCESS,47848,hsfJQ05mShW_UFBDkcXFyw
48,mericex,1709275741808,1,47853,47853,158343,3.0,0,9,9,1,SUCCESS,47853,IM38n8RMRBK8azBxOD3QjQ
49,ryu,1709489696164,1,47926,47926,159613,3.0,0,9,9,5,SUCCESS,47926,VJ3BbvBVTJul_5HJYllepg
50,BrainyShell#9495,1709538287765,1,47976,47976,151967,0.6666666666666666,0,2,2,6,SUCCESS,47976,4JqvflVOSxiRtwH4EGrCTg
51,EatMyGas,1709416846704,1,48260,48260,151698,0.3333333333333333,0,1,1,20,SUCCESS,48260,G49XjRGRR76Xv00WxIMvnQ
52,GoodmanKR,1709379106393,1,48443,48443,152270,1.0,0,3,3,4,SUCCESS,48443,f905b742ca594aadb529eQ
53,Resdle#3753,1709412872414,1,48467,48467,183557,3.3333333333333335,0,10,10,18,SUCCESS,48467,IxyohRhTSUGLbj3admVm9A
54,Mentaiko-DevelopersIO,1709515024018,1,48625,48625,171039,3.3333333333333335,0,10,10,1,SUCCESS,48625,Wt5C8BPAS0OPlzY3-txb-w
55,Fr3dNZ,1709273596378,1,48805,48805,162794,3.0,0,9,9,1,SUCCESS,48805,7x6nmMRlQiWawqJ8wUE7jA
56,LeoMtz,1709306788489,1,48988,48988,186427,3.3333333333333335,0,10,10,3,SUCCESS,48988,bAuh9G8eSlaPuXBlDHo6mQ
