Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,Eviden-Mark-Ross,1682939592110,3,24313,23069,72939,0.3333333333333333,0,1,1,2,SUCCESS,72939,F_ThjPFRSx-guPadHlwEuA
2,TheGreatMax#1,1682910468930,3,24399,23132,73197,0.3333333333333333,0,1,1,9,SUCCESS,73197,_lLRY-ShQyG1-SUhAeHzlQ
3,JPMC-LONDON-HandsFree,1682935626119,3,24531,22805,73594,0.3333333333333333,0,1,1,1,SUCCESS,73594,DZAYqyd-Tp6eE15IopWCgQ
4,Jianlong,1682921203888,3,27242,26998,81726,0.0,0,0,0,7,SUCCESS,81726,vpsHYdBtSIq__1M9j1R21Q
5,TPC-Tech,1682939946482,3,27773,26062,83320,0.3333333333333333,0,1,1,3,SUCCESS,83320,iEfWhIPLS865MMzpmLNdqQ
6,IcePandaBoom,1682931546609,3,27956,26595,83870,0.3333333333333333,0,1,1,1,SUCCESS,83870,BTPWujqqTBOWGAFvEKyRaA
7,JPMC-HYD-SmartAccelerators,1682953177207,3,29061,26806,87185,0.3333333333333333,0,1,1,1,SUCCESS,87185,6jJ_fiuUQb2PZXOGkr3V7g
8,Cinderpelt,1682899815529,3,31263,30733,93789,0.0,0,0,0,2,SUCCESS,93789,1UgtHyGoRa-lnh8JgVEtuw
9,Galileo,1682935146996,3,31757,30338,95272,2.3333333333333335,0,7,7,2,SUCCESS,95272,Y79AzaaOR-u4LVKMxu1Mdw
10,Fenerbahce-Fan,1682961521583,3,33221,32730,99663,0.0,0,0,0,3,SUCCESS,99663,-yBKpK66SoKcJrJWFnLvsA
11,Eviden-Sammy-Cheung,1682975982728,3,33221,30798,99665,0.6666666666666666,0,2,2,1,SUCCESS,99665,R22FBKQsSMKmRaTpNdD76A
12,DeepRacer#2736,1682935172459,3,34798,32602,104394,0.3333333333333333,0,1,1,1,SUCCESS,104394,oX5vK1xrTMCEcsx2I49Miw
13,FabRacer,1682931371796,3,35060,34935,105181,0.0,0,0,0,1,SUCCESS,105181,YXjU-6WZTe65g7_YyZPJrA
14,MAD-Racer,1682960887964,3,35288,34932,105865,2.0,0,6,6,3,SUCCESS,105865,AcW1K19vT9Ou3_Tjm7Djog
15,Ashiq,1682967710911,3,35643,33397,106929,0.6666666666666666,0,2,2,5,SUCCESS,106929,afEastFHR7maoIMhMnROJw
16,SquareToken#8868,1682958730581,3,35685,34862,107056,0.0,0,0,0,7,SUCCESS,107056,frdHM6jjRke1YLPAGiZMuQ
17,BoogieTimeProductions,1683013029605,3,35890,33801,107671,0.3333333333333333,0,1,1,1,SUCCESS,107671,MUyQlFafT0yFhQr1sApn9Q
18,TheTrackBoss,1682935202126,3,36150,35006,108452,0.3333333333333333,0,1,1,1,SUCCESS,108452,hbVXmPNNTAGt_ndmy0JCtg
19,JoeLeyba,1682967634680,3,36530,34600,109590,2.3333333333333335,0,7,7,1,SUCCESS,109590,nzfVL37yS2G5OUkCQh7omQ
20,makit,1682970987293,3,36756,36002,110268,0.0,0,0,0,1,SUCCESS,110268,FQ4kxx42Rn-ywzWMVEad0A
21,mjh,1682903738392,3,37179,35072,111537,1.3333333333333333,0,3,4,2,SUCCESS,111537,VZdWSLQARButVjw_1V_Cxw
22,Sm3gg3r,1682991853041,3,37237,35259,111713,0.3333333333333333,0,1,1,2,SUCCESS,111713,mryXkKBsRXCz0CZqKfHQQw
23,gabrielkoo#HongKong,1682923368869,3,37329,35523,111988,0.3333333333333333,0,1,1,2,SUCCESS,111988,ydUnMZutQDmeS4U2pIDYLg
24,Yuliya,1682921679348,3,37336,34464,112008,1.0,0,3,3,10,SUCCESS,112008,JWJgkv8bSKeMIGYZ9roR-A
25,WebCharacter#0155,1682966888708,3,37476,35688,112428,0.6666666666666666,0,2,2,3,SUCCESS,112428,pMN2MQQkTxKjBVtOfteDjg
26,KWON,1682936118659,3,37620,36998,112860,0.0,0,0,0,3,SUCCESS,112860,DplPbQepT5iDPJ0_iSmzHg
27,UnboundConsole#8106,1682908541873,3,37801,35467,113404,1.6666666666666667,0,5,5,1,SUCCESS,113404,LdeWqnCkQC2a8Fpoo5_2rg
28,Adam-Niu,1682927007055,3,37819,36267,113457,1.3333333333333333,0,4,4,5,SUCCESS,113457,-mYtVYWFRXaby3hy_KwQWw
29,CrewT,1682920824493,3,38086,36803,114258,0.0,0,0,0,10,SUCCESS,114258,4ZMMkxo-QXGMdm1pmULlrA
30,NeilSimon-PanSup,1682905030831,3,38209,37098,114628,1.3333333333333333,0,4,4,1,SUCCESS,114628,caj3LxcuQz297jcW58Y--Q
31,She-Hulk#Duco,1682909332118,3,38352,36666,115057,0.0,0,0,0,16,SUCCESS,115057,-mFXFJqzRAua3kfGoiYBvA
32,raj-1205,1682972760453,3,38821,38064,116463,0.0,0,0,0,2,SUCCESS,116463,558a49745f8843aea7db6w
33,CloudChef#23,1682915653377,3,38910,37731,116730,0.0,0,0,0,14,SUCCESS,116730,UarPLMz5QN2gALpvKtBGOA
34,GammaError#7486,1682953612524,3,39042,38871,117126,1.0,0,3,3,1,SUCCESS,117126,S2vrNDZ7S5aYUrw-XV5icw
35,WernerOscar,1682922078251,3,39290,34199,117871,1.3333333333333333,0,4,4,6,SUCCESS,117871,VJ3BbvBVTJul_5HJYllepg
